Dataset,FileName,text,label2a,split,Sentiment,Original FileName,Starting,Ending
CMU-MOSEI,222247_7," I feel maybe he lost a bet towards the end of this movie, it just becomes silly",1,0,negative,222247,72.068,79.074
CMU-MOSEI,240915_1," This is supposed to be a very romantic comedy, but I find it to be ridiculous and stupid",1,0,negative,240915,5.778,12.685
CMU-MOSEI,262165_23," Yeah, this is a, a really stupid movie, and me and my friends used to get together and watch really awful movies like this and just talk over them and make fun of them",1,0,negative,262165,144.124,154.263
CMU-MOSEI,270416_8, Mike Myers is absolutely awful,1,0,negative,270416,40.06,42.717
CMU-MOSEI,114016_5," So let's just see I mean the whole movies you know, how does this unfold? Are the cops really that stupid? Are the gangsters stupider? Stupider than stupider? Are you stupider than me? So essential questions in life will be answered in this movie",1,0,positive,114016,40.819,56.785
CMU-MOSEI,110565_6, But we could've done without all the other garbage that they added to this movie,1,0,negative,110565,45.837,51.297
CMU-MOSEI,45184_5," They're national guard trainees, and I don't think like it's not very good, it's not very gore, like the goriness sucks, the acting sucks, the storyline sucks, it's just like one of those like, like, there it's like a typical horror film that they tried to make scary and stuff but I didn't really feel like it was like that at all",1,0,negative,45184,42.056,67.331
CMU-MOSEI,240915_4," But if you're not dumb, you'll stay away from it because it's stupid",1,0,negative,240915,23.807,27.91
CMU-MOSEI,255224_4," It's got that really awful RV meets Are We There Yet type of vibe to it where it's so family oriented, it has such, such moments every five or ten minutes of just unfunny stupidity that it's just a real challenge to enjoy",1,0,negative,255224,35.89,54.25
CMU-MOSEI,98187_6," I can't really say South Park is stupid, but it actually is",1,0,positive,98187,21.323,26.643
CMU-MOSEI,211875_5," It wasn't my favorite, I actually thought the plot stunk",1,0,negative,211875,18.14,23.061
CMU-MOSEI,106514_3, The second one was silly and this one was worse,1,0,negative,106514,10.867,14.89
CMU-MOSEI,243341_4, They're terrible,1,0,negative,243341,16.534,18.332
CMU-MOSEI,119348_5, Their jacket thing sucks,1,0,negative,119348,41.79637188,43.94376417
CMU-MOSEI,273531_10," And I don't wanna ruin the pathetic plot of this movie but obviously he has to confront what's behind these visions in the mirrors and discover why it's happening, how it's happening, how to stop it, why it's happening to him",1,0,positive,273531,57.321,73.058
CMU-MOSEI,Yi6Qyn4X8is_7,And the thing I want to say is that this generation has to be the dumbest generation that I have ever seen.,1,0,negative,Yi6Qyn4X8is,69.384,74.614
CMU-MOSEI,244623_3," Crazy concept, actually it's kind of dumb",1,0,negative,244623,17.27210884,20.70657596
CMU-MOSEI,237385_12," I mean it seems confusing but when you watch the movie it's really not, it's really stupid",1,0,negative,237385,87.922,92.873
CMU-MOSEI,266791_24, And it doesn't help that the words they're delivering are just dumb,1,0,negative,266791,159,163.652
CMU-MOSEI,271598_18," This movie is dull, dull as dirt, duller than dirt",1,0,negative,271598,82.634,88.762
CMU-MOSEI,218757_6," At the beginning of the film it starts out and the rats are actually pretty ugly, I didn't think they would be that ugly, I thought they would be a little more cartoony and cute looking",1,0,negative,218757,43.552,52.095
CMU-MOSEI,ooAF6I-fmTg_7,OR are you one of these Christians who is an utter hypocrite because you believe God is dead?,1,0,negative,ooAF6I-fmTg,48.222,56.495
CMU-MOSEI,101635_7," But the scenes, just completely ridiculous what goes on in this movie and it's all just so funny",1,0,positive,101635,56.533,63.888
CMU-MOSEI,261900_26, The next ridiculous part is that a letter written by a little girl to a famous author would actually solicit a visit,1,0,negative,261900,119.899,128.063
CMU-MOSEI,275620_9," The first one is kind of mediocre but the rest of em are all really good, with the exception of this one and they followed up my beloved fourth one with this steaming pile of garbage",1,0,negative,275620,63.507,74.375
CMU-MOSEI,88888_5," This one is to me, pretty much ridiculous and it seems as though, they were just trying to make it as extreme as possible and that is definitely the truth in one scene where Tom Cruise is riding through some flames on his motorcycle doing a nose wheelie and stuff like that",1,0,negative,88888,24.506,48.224
CMU-MOSEI,113265_9," Also like the second one, just kind of left you there like , what happens? So you definitely know they're going to make a fourth one but I don't like that kind of thing and I think Pirates of the Caribbean has gone on way too long and they should probably stop making it after this next movie or just stop in the middle of making the next movie and realize that their movies suck",1,0,negative,113265,58.568,84.811
CMU-MOSEI,211875_10, Not my favorite show and I do not recommend it for anybody it was just retarded,1,0,negative,211875,56.094,62.931
CMU-MOSEI,243338_17," So It's this whole family kind of comedy thing about how they how they don't get along and then the main plots really about how you know Fred (stutters) he should be more like his brother and how but Fred kinda keeps messing up with his brother and like he marks everybody on the on the , he believes everybody shouldn't get a president present on Christmas and I mean, it's just it's just crazy stupid",1,0,negative,243338,70.541,96.285
CMU-MOSEI,BRSyH6yfDLk_3,"Fuckin hypocrite i had not seen as many Indians in New Delhi as I saw in New York Subway, Dunkin Donuts, Hudson news, Hudson Deli",1,0,negative,BRSyH6yfDLk,30.92108844,46.81723356
CMU-MOSEI,91284_7, The Storyline is mediocre at best,1,0,negative,91284,60.394,63.819
CMU-MOSEI,267278_17," In reality I really feel this movie is like, yeah, it's about on par with some of the stupid Saturday Night Live sketches",1,0,negative,267278,105.043,113.386
CMU-MOSEI,0r8KVXUCV6c_11,"Are you a wicked lukewarm Christian, who has fellowship with ungodly people, and does not proclaim Jesus, who does not stand for truth?",1,0,negative,0r8KVXUCV6c,86.764,98.62
CMU-MOSEI,270665_31," I would say that this movie should have gone straight to DVD or straight to the garbage, quite frankly",1,0,negative,270665,189.052,195.33
CMU-MOSEI,267278_7," It's just primarily that most of the movie is really crude and, you know, for a guy that usually does humor that's a little better than this, I mean it can be slapstick and silly, but not usually quite this level of just crude stupidness",1,0,negative,267278,30.043,44.173
CMU-MOSEI,136215_8, She's a little bit of an oddball,1,0,neutral,136215,52.921,55.727
CMU-MOSEI,254298_4," Just the first line of the movie was just, it was just ridiculous",1,0,negative,254298,21.58231293,25.05668934
CMU-MOSEI,288714_6, The story line was completely stupid,1,0,negative,288714,27.888,32.5
CMU-MOSEI,270665_15," The writing was pathetic, quite frankly",1,0,negative,270665,119.989,124.082
CMU-MOSEI,87163_9," The whole story outline is, again, mediocre",1,0,negative,87163,124.838,129.729
CMU-MOSEI,210238_10, I found this movie absolutely dumb,1,0,negative,210238,53.48979592,57.49297052
CMU-MOSEI,98636_4, The movie's kind of silly,1,0,negative,98636,40.669,42.687
CMU-MOSEI,79203_4," They freeze him and they're supposed to be waking up in a year, but the program gets stopped because of evil actions and they get forgotten and they wake up hundreds of years later and basically through the gene pool all the smart people have basically stopped of conceiving so the not so smart people just mass produced and in hundreds of years people are basically just stupid and anyways",1,0,negative,79203,49.928,87.525
CMU-MOSEI,220134_6," This movie, as I say, is completely ridiculous",1,0,negative,220134,27.51882086,30.72380952
CMU-MOSEI,267278_16," He's kind of a dork and the stuff he says is just sort of ridiculous most of the time, and the advice he gives is horrible and sorta questions whether or not it's any good at all",1,0,negative,267278,91.254,104.875
CMU-MOSEI,36098_9, But this movie really stunk and it's not really that entertaining,1,0,negative,36098,53.021,60.376
CMU-MOSEI,88888_10, But if you like kind of dumbed down action movies then this is for you,1,0,negative,88888,54.049,59.109
CMU-MOSEI,224263_6, All of it's mediocre,1,0,negative,224263,33.136,35.224
CMU-MOSEI,7156_7," However, a lot of my friends, a lot people I know thought the movie was completely stupid and a waste of time",1,0,negative,7156,44.55,50.818
CMU-MOSEI,79935_12, All of the other actors were terrible,1,0,negative,79935,92.252,95.457
CMU-MOSEI,73447_3, This movie sucked,1,0,negative,73447,4.282,6.549
CMU-MOSEI,56276_10, I just remember it was just so ridiculously stupid,1,0,negative,56276,52.432,56.356
CMU-MOSEI,238063_7," Grendel is a really bad guy, he's a monster",1,0,negative,238063,39.362,42.737
CMU-MOSEI,XVWiAArXYpE_2,"So, Jackson is unabashedly a racist",1,0,negative,XVWiAArXYpE,3.872562358,9.033106576
