Dataset,FileName,text,label2a,Starting,Ending
CMU-MOSEI,jqutn5ou8_0_9,"We have ETF updates now, we have intraday updates and after-hours updates.",0,75.131,81.618
CMU-MOSEI,72017_2," And it's basically about , it's about Dracula and he goes around killing people and sucking the blood",0,3.653,12.056
CMU-MOSEI,248400_4," Nevertheless, the Last Crusade returns to the original sense of magic and fun that you found in Raiders of the Lost Ark, magic that was lost somewhat during Temple of Doom",0,13.74,23.271
CMU-MOSEI,zv0Jl4TIQDc_5,"This is another exercise where we're going to go through those ""Ma ma mas"" that I know you love so much.",0,29.764,35.633
CMU-MOSEI,jjbOD6u7V34_16,"They're going to kill us as soon as you leave."" And I said to him, you know ‘«ˆ I promised him... I promised him, ""I'll come back."" And so it was with this sick mixture of relief and dread that I got in my car and drove away... ",0,77.755,112.508
CMU-MOSEI,35684_2," Billy's balls is, features one of their team riders, Billy Marks, and he just does the most amazing stuff with ping pong balls",0,28.507,35.882
CMU-MOSEI,d99mfGIenCo_17, You can also follow me on my Facebook page,0,120.3578231,122.8444444
CMU-MOSEI,AQ4Pktv4-Gc_6,"Because the truth of the matter is that we infer a lot of biases, a lot of judgment, a lot of noise we bring in in the listening process.",0,47.942,58.511
CMU-MOSEI,oNnoN0bxVnA_5,"- [Voiceover] Sahil asks, ""Why did you stop forcing people to ask ""questions from Instagram",0,30.60181406,35.24353742
CMU-MOSEI,K1VeXZxR24U_4,"Past performance is no indication of future value, may lose value, and not insured by any federal government agency.",0,30.622,38.766
CMU-MOSEI,256174_6," Romantic comedy, about a woman who has been a bridesmaid twenty-seven times",0,25.593,33.517
CMU-MOSEI,222247_7," I feel maybe he lost a bet towards the end of this movie, it just becomes silly",1,72.068,79.074
CMU-MOSEI,kRs39SO-neY_17,"If you kill them with kindness, if you take their challenge as a valid point and have a short conversation with it, and I'll talk about this more later in another series, then you will seem like you've taken the high road.",0,74.482,91.007
CMU-MOSEI,274185_9," The movie never really sags, and has great supporting performances from Terrence Howard and Gwyneth Paltrow",0,63.208,69.815
CMU-MOSEI,96694_6, I mean it's got a lot of special features for a DVD,0,37.815,40.711
CMU-MOSEI,282586_18," Drink blood, it's just kind of stupid",0,62.868,66.981
CMU-MOSEI,H26MMmrHTlQ_9,"AFTERNOON IT CLOUDS ON THURSDAY, WEEK",0,34.54285714,37.76780045
CMU-MOSEI,S_ISgjJR1bc_4,"If it's found out later that the notary was either misinformed or worse, misrepresented the circumstances that were very critical to a certain event happening, the bond would step in and make financial remedy for the truth that should have been realized in the first place.",0,37.805,60.027
CMU-MOSEI,k8NgVOCDYKM_5,On the contrary.,0,39.02380952,39.62244898
CMU-MOSEI,21137_5," , It's mostly about this guy named Borat who is a Kazaky reporter in America, and he's trying to learn about the culture and stuff here, and because he's so different he ends up making a fool out of himself and it's hilarious",0,19.936,36.431
CMU-MOSEI,240915_1," This is supposed to be a very romantic comedy, but I find it to be ridiculous and stupid",1,5.778,12.685
